ClassID,Original_pred,Patched_pred,Path
14,14,30,0.png
7,7,30,1.png
13,13,30,2.png
8,8,30,3.png
1,1,20,4.png
11,11,30,5.png
5,5,30,6.png
9,9,30,7.png
34,34,30,8.png
9,9,30,9.png
31,31,31,10.png
33,33,30,11.png
21,21,30,12.png
8,8,30,13.png
13,13,30,14.png
2,2,30,15.png
17,17,30,16.png
9,9,9,17.png
5,5,30,18.png
38,38,30,19.png
13,13,30,20.png
14,14,30,21.png
12,12,30,22.png
12,12,30,23.png
10,10,30,24.png
2,2,30,25.png
34,34,30,26.png
16,16,30,27.png
7,7,30,28.png
1,1,30,29.png
35,35,30,30.png
10,10,30,31.png
23,23,30,32.png
2,2,30,33.png
4,4,30,34.png
4,4,30,35.png
2,2,30,36.png
19,19,30,37.png
12,12,30,38.png
2,2,30,39.png
2,2,30,40.png
5,5,30,41.png
8,8,30,42.png
